,last_scraped,id,host_id,host_is_superhost,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,occ_rate,monthly_income,multi_listing_host,neighborhood
98418,2021-02-20,44142769,106505883,0,37209.0,36.15545,-86.84798,Townhouse,Entire home/apt,8,3.0,4.0,110.0,2.0,1125.0,23,53,80,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,121.0,0.027616438356164383,92.39999999999999,1,West_Nashville
98419,2021-02-20,44146892,132613025,1,37207.0,36.19558,-86.77381,House,Entire home/apt,16,6.0,26.0,210.0,2.0,182.0,2,27,57,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,43.0,0.02104109589041096,134.4,1,East_Nashville
98420,2021-02-19,44149394,228800815,1,37203.0,36.15543,-86.77473,Apartment,Entire home/apt,3,1.0,1.0,89.0,3.0,1125.0,0,0,0,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,0.24065753424657535,651.48,0,Downtown
98421,2021-02-19,44151824,924680,0,37206.0,36.1679,-86.75045,House,Entire home/apt,8,2.5,5.0,342.0,3.0,1125.0,14,21,28,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.21895890410958904,2277.72,0,East_Nashville
98422,2021-02-20,44162883,10061747,1,37203.0,36.12841,-86.75869,Guest suite,Entire home/apt,2,1.0,1.0,70.0,2.0,14.0,3,6,15,19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,0.13150684931506848,280.0,0,South_Nashville
98423,2021-02-20,44181938,189639715,1,37207.0,36.17728,-86.75780999999998,Townhouse,Entire home/apt,12,3.5,6.0,1057.0,3.0,1125.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,1,East_Nashville
98424,2021-02-20,44192403,354880355,0,37214.0,36.22067,-86.70586,Apartment,Entire home/apt,4,1.0,2.0,335.0,3.0,1125.0,30,60,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,1,Donelson
98425,2021-02-20,44192406,354880355,0,37214.0,36.22022,-86.70555,Apartment,Entire home/apt,8,2.0,4.0,389.0,3.0,1125.0,30,60,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,1,Donelson
98426,2021-02-20,44208338,354381278,0,37203.0,36.1421,-86.76404000000002,Guest suite,Private room,2,1.0,0.0,131.0,1.0,90.0,30,60,90,138,91.0,9.0,9.0,10.0,10.0,9.0,9.0,1,6.0,0.7,2789.208333333333,1,South_Nashville
98427,2021-02-20,44231188,85360355,0,37209.0,36.15094000000001,-86.84369000000002,House,Entire home/apt,6,1.0,4.0,108.0,1.0,365.0,23,51,79,16,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,75.0,0.5260273972602739,1727.9999999999998,1,West_Nashville
